name distmpc rvirarcmin ntarg_21 ntarg_20.5 ntarg_20 nsat_21 nsat_20.5 nsat_20 ntargpersat_21 ntargpersat_20.5 ntargpersat_20
NSA155204 38.2211765659 26.9830529539 25282 13821 6227 6 5 5 4213.66666667 2764.2 1245.4
NSA132273 60.1762871439 17.1383792551 23351 13236 6275 5 5 3 4670.2 2647.2 2091.66666667
NSA102480 51.3785995442 20.073027299 34580 20189 10514 5 5 5 6916.0 4037.8 2102.8
NSA140259 37.2827376493 27.6622398531 32240 19062 10241 6 5 5 5373.33333333 3812.4 2048.2
NSA141565 44.9357158367 22.9510982975 29245 16677 8331 5 5 5 5849.0 3335.4 1666.2
NSA165440 51.7008333311 19.9479189171 32863 19073 9661 5 5 5 6572.6 3814.6 1932.2
NSA32 29.7396826245 34.6783805415 26206 14311 6144 6 6 5 4367.66666667 2385.16666667 1228.8
NSA133810 59.4820195835 17.3384165241 23570 13686 6702 5 5 3 4714.0 2737.2 2234.0
NSA127782 54.9345169036 18.7736980202 27184 15620 8093 5 5 3 5436.8 3124.0 2697.66666667
NSA166313 27.7325222824 37.1882521443 30763 16835 7072 7 6 6 4394.71428571 2805.83333333 1178.66666667
NSA134821 59.3730877205 17.3702273341 41450 22757 8364 5 5 3 8290.0 4551.4 2788.0
NSA150440 30.2141382891 34.1338224299 33254 19042 8809 6 6 5 5542.33333333 3173.66666667 1761.8
NSA158901 39.4834485024 26.1204142585 31423 18280 9251 6 5 5 5237.16666667 3656.0 1850.2
NSA5916 58.4587157474 17.6419207649 29523 17060 8578 5 5 3 5904.6 3412.0 2859.33333333
NSA159593 35.752919783 28.8458687429 28538 16426 8398 6 5 5 4756.33333333 3285.2 1679.6
NSA131295 55.0452968346 18.7359155194 29698 16711 8383 5 5 3 5939.6 3342.2 2794.33333333
NSA140895 37.4017425324 27.5742241245 28558 16195 8027 6 5 5 4759.66666667 3239.0 1605.4
NSA165952 48.6852074109 21.1835193087 29484 16598 7947 5 5 5 5896.8 3319.6 1589.4
NSA149889 54.3677012386 18.9694250031 39253 20752 6421 5 5 4 7850.6 4150.4 1605.25
NSA148472 45.0005462111 22.9180336256 53268 29135 6759 5 5 5 10653.6 5827.0 1351.8
NSA76316 54.2211570118 19.0206939149 28719 15905 6655 5 5 4 5743.8 3181.0 1663.75
NSA133355 31.0487282039 33.2163051724 7680 4302 2080 6 6 5 1280.0 717.0 416.0
NSA127226 21.4822868747 48.0081118574 30754 17531 8740 7 7 6 4393.42857143 2504.42857143 1456.66666667
NSA168145 54.0118895216 19.0943890386 34573 19130 7773 5 5 4 6914.6 3826.0 1943.25
NSA142728 59.4940396284 17.3349135086 32119 19084 10245 5 5 3 6423.8 3816.8 3415.0
NSA25728 57.2006354251 18.0299401147 29335 16237 7272 5 5 3 5867.0 3247.4 2424.0
NSA129140 57.0979623551 18.0623613995 28178 16303 8085 5 5 3 5635.6 3260.6 2695.0
NSA129387 37.0169592205 27.8608522405 28542 16521 8354 6 5 5 4757.0 3304.2 1670.8
NSA161509 34.6965470597 29.7241114357 28128 15697 7522 6 6 5 4688.0 2616.16666667 1504.4
NSA169846 31.4862280371 32.7547659891 31088 17773 8904 6 6 5 5181.33333333 2962.16666667 1780.8
NSA155576 54.0622189232 19.0766130539 16684 9721 5000 5 5 4 3336.8 1944.2 1250.0
NSA143975 41.3521179407 24.9400534385 27862 15540 6925 6 5 5 4643.66666667 3108.0 1385.0
NSA138634 58.216200751 17.7154128564 17924 9851 4332 5 5 3 3584.8 1970.2 1444.0
NSA169169 49.7538900225 20.7285104897 31786 18027 8645 5 5 5 6357.2 3605.4 1729.0
NSA41075 42.16791262 24.4575547414 30010 17013 8425 6 5 5 5001.66666667 3402.6 1685.0
NSA165091 34.5059653041 29.8882822766 30212 17054 8516 6 6 5 5035.33333333 2842.33333333 1703.2
NSA146210 37.174110649 27.7430720798 16978 8773 2870 6 5 5 2829.66666667 1754.6 574.0
NSA147100 34.0063023606 30.3274381407 36644 19875 7580 6 6 5 6107.33333333 3312.5 1516.0
NSA147103 23.9931905092 42.9840304415 28542 15832 6772 7 6 6 4077.42857143 2638.66666667 1128.66666667
NSA23274 53.4702147388 19.28782288 22884 13151 6730 5 5 4 4576.8 2630.2 1682.5
NSA160608 55.4659028684 18.5938383385 29044 16625 8476 5 5 3 5808.8 3325.0 2825.33333333
NSA161726 31.4921640951 32.7485919393 31644 17640 8363 6 6 5 5274.0 2940.0 1672.6
NSA151537 48.8774364623 21.100207087 32236 18229 8135 5 5 5 6447.2 3645.8 1627.0
NSA166440 46.1151421891 22.364108236 34943 19480 8262 5 5 5 6988.6 3896.0 1652.4
NSA156839 55.2800534837 18.6563500981 31292 17376 7820 5 5 3 6258.4 3475.2 2606.66666667
NSA64342 59.1819443157 17.4263289786 33459 18391 7812 5 5 3 6691.8 3678.2 2604.0
NSA160084 47.8735046336 21.5426892 27205 15859 8113 5 5 5 5441.0 3171.8 1622.6
NSA156881 60.2704496948 17.1116033887 28670 15650 6625 5 5 3 5734.0 3130.0 2208.33333333
NSA144045 37.9598646742 27.1688015773 24165 13314 5813 6 5 5 4027.5 2662.8 1162.6
NSA150238 53.5102625807 19.2733875989 28143 15857 7299 5 5 4 5628.6 3171.4 1824.75
NSA129431 30.1733172435 34.180001586 28114 16128 8226 6 6 5 4685.66666667 2688.0 1645.2
NSA159789 27.5666986046 37.411952952 26856 15140 7028 7 6 6 3836.57142857 2523.33333333 1171.33333333
NSA142509 36.1019238585 28.5670103144 32019 18499 9571 6 5 5 5336.5 3699.8 1914.2
NSA48849 25.5712955966 40.3313170949 31280 17759 8824 7 6 6 4468.57142857 2959.83333333 1470.66666667
NSA126157 54.4413099538 18.9437769244 27927 15939 8104 5 5 4 5585.4 3187.8 2026.0
NSA155005 31.4390830707 32.8038839083 28564 16640 8723 6 6 5 4760.66666667 2773.33333333 1744.6
NSA169528 21.9505461908 46.9839803652 26720 15469 7580 7 7 6 3817.14285714 2209.85714286 1263.33333333
NSA151874 57.0350953658 18.0822706549 26956 14840 6410 5 5 3 5391.2 2968.0 2136.66666667
NSA56408 34.5927973297 29.813259142 30944 17982 9462 6 6 5 5157.33333333 2997.0 1892.4
NSA37217 45.6669388794 22.5836032925 29920 17192 8785 5 5 5 5984.0 3438.4 1757.0
NSA53553 56.9364570209 18.1135968973 28167 15819 7472 5 5 3 5633.4 3163.8 2490.66666667
NSA139467 39.563527493 26.0675449483 30580 17553 8792 6 5 5 5096.66666667 3510.6 1758.4
NSA56725 49.055276424 21.023712563 30001 17010 8138 5 5 5 6000.2 3402.0 1627.6
NSA133120 41.3887312766 24.9179909465 51339 27412 7161 6 5 5 8556.5 5482.4 1432.2
NSA134212 38.5251705174 26.7701354046 28323 15470 5143 6 5 5 4720.5 3094.0 1028.6
NSA149454 25.0099570773 41.2365374337 22535 11239 1364 7 6 6 3219.28571429 1873.16666667 227.333333333
NSA145188 43.6556928322 23.6240445249 28632 16321 8084 6 5 5 4772.0 3264.2 1616.8
