NSAID RA DEC redshift
32 9.70091 0.336452 0.0063789
13927 12.0451 1.9768 0.00654167
16559 10.3258 58.2058 0.00700288
33446 8.21609 36.2546 0.00823803
41075 11.1825 53.3878 0.0094987
52773 12.9228 58.3442 0.00830787
53145 14.1198 55.0017 0.00635246
61945 23.6087 0.297265 0.00852843
63326 16.5737 21.5409 0.00979512
69028 14.0472 49.1726 0.00671303
74567 10.6107 14.1711 0.0100659
82428 7.44317 43.2964 0.0104427
87606 11.9622 32.2941 0.0110849
90222 10.8698 32.9504 0.00559393
94217 13.9489 29.1644 0.00791636
99614 16.0337 18.8157 0.00846242
101649 11.4668 29.5111 0.00815006
126133 0.075217 5.20028 0.0101837
128381 1.05608 -6.33917 0.00802556
129387 1.40109 12.9175 0.00824572
129431 1.40926 3.80066 0.00755857
129533 1.42148 9.26422 0.00787546
132339 2.63654 -1.31876 0.00876941
133355 3.36849 -15.3999 0.00712494
133953 4.80912 -6.57005 0.00918303
134212 5.46722 -5.31074 0.00853258
134737 7.95382 23.7678 0.00777873
135440 8.71106 14.2856 0.00687143
138217 10.8618 43.7126 0.0110176
139467 11.4697 25.6612 0.00913633
139920 11.6233 61.7594 0.0115513
140004 11.6618 31.9094 0.00893286
140259 11.7929 55.9673 0.00798593
140458 11.9326 6.74927 0.00832911
140827 12.1423 68.7677 0.00775871
140895 12.1981 24.1251 0.00856928
141465 12.4808 -1.93918 0.0080289
141475 12.4842 13.1838 0.00644113
141565 12.5228 57.9646 0.0103772
141863 12.6769 -5.13277 0.00846921
142335 12.7988 -1.65605 0.00935649
142509 12.9113 28.9387 0.00831043
143555 13.5032 46.6707 0.00844919
143856 13.7732 43.8724 0.00803557
143975 13.8683 -6.05826 0.010147
144045 13.9001 -7.93066 0.00912633
144113 13.9351 59.7421 0.00614426
144151 13.9514 41.8463 0.00757192
144521 14.1115 50.7233 0.0071116
145188 14.5071 35.321 0.0104899
145314 14.5916 48.7416 0.007205
145682 14.8993 3.54445 0.00558159
145729 14.973 -1.09102 0.00641111
145879 15.1637 0.470085 0.00695482
145967 15.2512 -10.0861 0.00667129
146210 15.5128 -2.82949 0.00936316
147100 16.5392 19.8264 0.00792216
147606 17.014 23.011 0.00930645
148188 17.7274 25.4939 0.0107741
148275 17.8631 24.4836 0.0103872
148472 18.9934 19.4243 0.0103839
148735 20.6502 -4.97252 0.0126654
149781 22.3942 -3.43167 0.00943321
150307 22.9282 -5.49535 0.00953661
150340 22.9554 -1.04903 0.0102671
150440 23.001 15.9802 0.00731841
151137 23.3268 8.06339 0.0108475
153017 23.9904 20.7498 0.00801556
154089 1.32914 3.40984 0.00791882
155005 2.36013 -5.52127 0.00763529
155204 2.7761 -0.247137 0.00919971
155274 2.90075 2.96207 0.010147
155420 3.11456 -0.794499 0.0107063
156022 6.25285 25.378 0.00835579
157374 9.68165 5.16581 0.00655788
157495 9.86893 29.2362 0.00511021
158541 10.6045 37.3247 0.00522866
158901 10.8677 10.1483 0.00902218
159593 11.3059 45.7482 0.00776291
159747 11.3941 53.8422 0.00957881
159756 11.3995 38.5623 0.00681806
159804 11.4251 63.4464 0.0114945
160524 11.7627 10.8246 0.0100128
161509 12.3322 5.34334 0.00795552
161726 12.4286 0.572651 0.00713828
161987 12.5466 63.9392 0.00839331
162547 12.8975 9.71003 0.00952224
162580 12.9175 8.06553 0.00928266
163136 13.1936 22.9155 0.00869363
163652 13.5362 62.7678 0.0095192
163956 13.7553 41.7125 0.00850258
164374 14.0127 59.3284 0.0101442
165091 14.4972 49.6227 0.00768199
165153 14.5349 57.9215 0.00633235
165536 14.7698 -0.222942 0.00553501
165832 14.9777 53.886 0.0111244
165952 15.1537 52.5285 0.0116952
165955 15.1588 54.5065 0.0108514
166313 15.6088 16.6078 0.00656245
166440 15.783 17.8842 0.0109769
169570 23.7829 6.86185 0.0108775
169846 12.2298 13.4248 0.00701788
169911 12.5166 8.07791 0.00580402
