nsaid ra dec distmpcoh arcmin300kpc
131295 32.2447161027 -7.05892620455 38.7518889716 18.7359155194
23274 32.4108133056 -10.1461685601 37.6430311761 19.28782288
146210 232.692190849 -2.82949457688 26.1705738969 27.7430720798
127226 8.69484030832 -8.39644492274 15.1235299598 48.0081118574
5916 10.866033784 -0.124941003665 41.1549358862 17.6419207649
166313 234.132011282 16.6077737961 19.5236956868 37.1882521443
126157 1.27242867652 -7.09338081044 38.3266822075 18.9437769244
129387 21.0162754036 12.9174623621 26.0599392912 27.8608522405
129431 21.1388678889 3.80066383815 21.2420153394 34.180001586
127782 12.3589675368 -1.77123276598 38.6738999001 18.7736980202
129140 19.9983213101 14.7862268312 40.196965498 18.0623613995
145188 217.606299005 35.3210123852 30.7336077539 23.6240445249
165091 217.457574817 49.6226483638 24.2921995741 29.8882822766
144045 208.501100455 -7.93066473644 26.7237447306 27.1688015773
143975 208.024609738 -6.05826123311 29.1118910303 24.9400534385
56408 207.268956239 39.4976512435 24.3533293201 29.813259142
142728 194.868569209 28.0854048276 41.8838038984 17.3349135086
142509 193.66923775 28.9386590481 25.4157543964 28.5670103144
141565 187.842294042 57.964641518 31.6347439491 22.9510982975
150238 342.908726886 -5.55742982842 37.6712248568 19.2733875989
149889 337.886789344 30.9559206471 38.274861672 18.9694250031
169169 350.974976538 9.6671938167 35.0267385758 20.7285104897
150440 345.014995384 15.9802328083 21.2707533556 34.1338224299
25728 353.101778241 15.8478864204 40.2692473393 18.0299401147
151537 351.66573267 25.0802522211 34.4097152695 21.100207087
165440 220.63850429 28.7264486165 36.3973866651 19.9479189171
56725 219.311235946 38.4542664159 34.5349146025 21.023712563
139467 172.045928015 25.6611645065 27.852723355 26.0675449483
159789 171.260232524 -9.79534770791 19.4069558176 37.411952952
138634 165.748592799 -16.2893383082 40.9842053287 17.7154128564
158901 163.01612895 10.1483165698 27.7963477457 26.1204142585
159593 169.588863841 45.7481921726 25.1700555272 28.8458687429
41075 167.736989456 53.3878339117 29.6862104845 24.4575547414
156839 130.09459962 23.539670956 38.9171576525 18.6563500981
64342 125.687373501 24.2969658606 41.6640887982 17.4263289786
32 145.513690377 0.336451585096 20.9367365677 34.6783805415
156881 131.498096893 12.6198717754 42.4303965852 17.1116033887
169528 356.08815425 9.93412285389 15.4531845183 46.9839803652
166440 236.745365111 17.8841720491 32.4650601011 22.364108236
151874 353.12783545 14.8158384563 40.1527071376 18.0822706549
140259 176.893206312 55.9673128093 26.2470473051 27.6622398531
160608 177.328166851 26.1215782603 39.0479956193 18.5938383385
37217 172.138544595 58.561928873 32.1495249711 22.5836032925
160084 173.418858216 61.8880745904 33.702947262 21.5426892
140895 182.971336278 24.1250808018 26.3308267428 27.5742241245
169846 183.446943161 13.4248305354 22.1663045381 32.7547659891
102480 179.690292837 27.4524338817 36.1705340791 20.073027299
48849 182.040118767 10.3789321321 18.0021921 40.3313170949
161509 184.983654606 5.34333954675 24.42636913 29.7241114357
161726 186.428372729 0.572651079123 22.1704835229 32.7485919393
168145 328.640122112 2.94314738111 38.0243702232 19.0943890386
149454 329.101052236 73.2606076977 17.6070097824 41.2365374337
76316 119.257760828 49.5674403952 38.1716945363 19.0206939149
134821 121.024432222 5.11382529844 41.7986537552 17.3702273341
147100 248.087298875 19.8264299356 23.9404368619 30.3274381407
155005 35.4019937168 -5.52127055443 22.1331144818 32.8038839083
132273 38.7920354421 20.8513793149 42.3641061493 17.1383792551
155204 41.6414475364 -0.24713745138 26.9077083024 26.9830529539
133120 45.9956627639 43.3984296402 29.1376668187 24.9179909465
133355 50.5273286228 -15.3999287657 21.8583046556 33.2163051724
155576 52.5552726224 -5.54331607279 38.059802122 19.0766130539
133810 67.076919548 -5.1787715439 41.8753417868 17.3384165241
134212 82.0082992538 -5.3107402958 27.1217200443 26.7701354046
148472 284.901172418 19.424307156 31.6803845326 22.9180336256
147103 248.163056967 78.1982380787 16.8912061185 42.9840304415
53553 224.278285736 49.6690111414 40.0832657427 18.1135968973
165952 227.304878898 52.5285192036 34.2743860173 21.1835193087
