      NSAID          RA                      DEC              redshift
      126157     0.084828578      -7.0933808    0.0126574
      127226      0.57965602      -8.3964449   0.00502460
        5916      0.72440225     -0.12494100    0.0135816
      127782      0.82393117      -1.7712328    0.0127709
      129140       1.3332214       14.786227    0.0132687
      129387       1.4010850       12.917462   0.00863350
      129431       1.4092579       3.8006638   0.00704615
      131295       2.1496477      -7.0589262    0.0127964
       23274       2.1607209      -10.146169    0.0124338
      155005       2.3601329      -5.5212706   0.00734003
      132273       2.5861357       20.851379    0.0139764
      155204       2.7760965     -0.24713745   0.00891241
      133120       3.0663775       43.398430   0.00964546
      133355       3.3684886      -15.399929   0.00724941
      155576       3.5036848      -5.5433161    0.0125701
      133810       4.4717946      -5.1787715    0.0138168
      134212       5.4672200      -5.3107403   0.00898280
       76316       7.9505174       49.567440    0.0126067
      134821       8.0682955       5.1138253    0.0137918
       64342       8.3791582       24.296966    0.0137479
      156839       8.6729733       23.539671    0.0128505
      156881       8.7665398       12.619872    0.0139980
          32       9.7009127      0.33645159   0.00694544
      158901       10.867742       10.148317   0.00920463
      138634       11.049906      -16.289338    0.0135259
       41075       11.182466       53.387834   0.00982566
      159593       11.305924       45.748192   0.00834061
      159789       11.417349      -9.7953477   0.00644052
      139467       11.469729       25.661165   0.00922316
       37217       11.475903       58.561929    0.0106342
      160084       11.561257       61.888075    0.0111436
      140259       11.792880       55.967313   0.00869507
      160608       11.821878       26.121578    0.0128933
      102480       11.979353       27.452434    0.0119519
       48849       12.136008       10.378932   0.00597651
      140895       12.198089       24.125081   0.00872263
      169846       12.229796       13.424831   0.00735098
      161509       12.332244       5.3433395   0.00809573
      161726       12.428558      0.57265108   0.00735235
      141565       12.522820       57.964642    0.0104653
      142509       12.911283       28.938659   0.00842149
      142728       12.991238       28.085405    0.0138196
       56408       13.817930       39.497651   0.00807168
      143975       13.868307      -6.0582612   0.00963699
      144045       13.900073      -7.9306647   0.00885190
      165091       14.497172       49.622648   0.00805154
      145188       14.507087       35.321012    0.0101696
       56725       14.620749       38.454266    0.0114163
      165440       14.709234       28.726449    0.0120262
       53553       14.951886       49.669011    0.0132316
      165952       15.153659       52.528519    0.0113309
      146210       15.512813      -2.8294946   0.00866990
      166313       15.608801       16.607774   0.00647906
      166440       15.783024       17.884172    0.0107377
      147100       16.539153       19.826430   0.00793568
      147103       16.544204       78.198238   0.00560930
      148472       18.993411       19.424307    0.0104803
      168145       21.909341       2.9431474    0.0125585
      149454       21.940070       73.260608   0.00584592
      149889       22.525786       30.955921    0.0126405
      150238       22.860582      -5.5574298    0.0124430
      150440       23.001000       15.980233   0.00705563
      169169       23.398332       9.6671938    0.0115774
      151537       23.444382       25.080252    0.0113752
       25728       23.540119       15.847886    0.0132924
      151874       23.541856       14.815838    0.0132543
      169528       23.739210       9.9341229   0.00513369
