objid ra dec
1237662498391261226 228.389530 41.954370
1237662300829384725 228.778293 42.209718
1237662300829253660 228.373589 42.325770
1237662300829384730 228.759580 42.217655
1237662300829253654 228.368821 42.335368
1237662300829253651 228.374792 42.330362
1237662300829384720 228.763359 42.215231
1237662300829189130 228.234658 42.295864
1237662498928197694 229.038466 42.321874
1237658205598712218 228.247022 41.844161
1237658206135517869 228.498703 42.225523
1237662300829253653 228.369433 42.330579
1237662498391261232 228.399694 41.959533
1237662498391130169 228.151624 42.088901
1237662300829384747 228.764068 42.214973
1237662498391326725 228.681258 42.043465
1237662300829384723 228.762492 42.215609
